genotypes,species,cultivated_wild,size,sra,bioproject
Cultivar_ITC1387,EV,cultivated,15.9,ERR10695598,PRJEB58004
Jungleseed,EV,Wild,40.4,SRR610420,PRJNA170519
Bedadeti,EV,Cultivated,18.3,"SRR1515268, SRR1515269",PRJNA252658
Arkiya,EV,Cultivated,5,"SRR4304981, SRR4304987",PRJNA344540
Astara,EV,Cultivated,4.3,SRR4304989,PRJNA344540
Buffero,EV,Cultivated,5,SRR4304990,PRJNA344540
Derea,EV,Cultivated,25.2,"SRR4308285, SRR4308286",PRJNA344540
Lochingie,EV,Cultivated,5.4,"SRR4304974, SRR4304975",PRJNA344540
Mazia_208,EV,Cultivated,4.9,"SRR4304976, SRR4304977",PRJNA344540
Mazia_429,EV,Cultivated,5.2,"SRR4304978, SRR4304979",PRJNA344540
Nechuwe,EV,Cultivated,5.6,SRR4304982,PRJNA344540
Nobo,EV,Cultivated,4.8,SRR4304983,PRJNA344540
Onjamo,EV,Cultivated,6.6,SRR4308284,PRJNA344540
Siyuti,EV,Cultivated,4.6,SRR4304984,PRJNA344540
Yako,EV,Cultivated,4.9,SRR4304985,PRJNA344540
Yanbule,EV,Cultivated,5.4,SRR4304986,PRJNA344540
Arkiya,EV,Cutivated,4.8,"SRR4304969, SRR4304970",PRJNA344540
Erpha_13,EV,Wild,5.7,"SRR4304991, SRR4304992",PRJNA344540
Erpha_20,EV,Wild,6.3,"SRR4304971, SRR4304993",PRJNA344540
Mazia_stLFR,EV,Cultivated,192.2,"SRR27722736	",PRJNA838108 
,,,,,
,,,,,
,,,#REF!,,
,,,,,
,,,,,